classifier;balancing;embedding;accuracy;precision;recall;f1;tp;tn;fp;fn;auroc_art;auroc_gaming;auroc_memberships;auroc_music;auroc_pfps;auroc_photography;auroc_virtual-worlds;cm_path
RF;oversampling;clean_lemmatization_all-MiniLM-L6-v2;0,5876288659793815;0,5929824961743789;0,5889103841897817;0,5887228086613748;399;3794;280;280;0,7677029360967186;0,8735235852582792;0,8316660385761759;0,9321331151118385;0,7925820379965457;0,9202992728933226;0,8590392934390771;C:/Users/samue/Downloads/NFT25/final_novo/only_emb/confusion_matrices/RF_oversampling_clean_lemmatization_all-MiniLM-L6-v2_confusion_matrix.png
RF;smote;clean_lemmatization_all-MiniLM-L6-v2;0,5964653902798233;0,6007652790143866;0,5986066560606034;0,5978315198689746;405;3800;274;274;0,773013816925734;0,8854190027659415;0,8483161464935421;0,9412256773958901;0,8356908462867013;0,9298623063683304;0,8584534967555876;C:/Users/samue/Downloads/NFT25/final_novo/only_emb/confusion_matrices/RF_smote_clean_lemmatization_all-MiniLM-L6-v2_confusion_matrix.png
LogReg;unbalanced;clean_lemmatization_all-MiniLM-L6-v2;0,5891016200294551;0,5995676880770316;0,5908726623262481;0,5945284696936604;400;3795;279;279;0,8338341968911918;0,8890259400463482;0,8567011545445202;0,954582651391162;0,8091018998272884;0,9343320805086234;0,8819935111751984;C:/Users/samue/Downloads/NFT25/final_novo/only_emb/confusion_matrices/LogReg_unbalanced_clean_lemmatization_all-MiniLM-L6-v2_confusion_matrix.png
LogReg;undersampling;clean_lemmatization_all-MiniLM-L6-v2;0,6008836524300442;0,6102513631271089;0,6027984148925342;0,6056300280913912;408;3803;271;271;0,8392400690846286;0,8783359497645212;0,8657113981294323;0,958983451536643;0,8100863557858377;0,9483824510871475;0,8788752703677001;C:/Users/samue/Downloads/NFT25/final_novo/only_emb/confusion_matrices/LogReg_undersampling_clean_lemmatization_all-MiniLM-L6-v2_confusion_matrix.png
LogReg;oversampling;clean_lemmatization_all-MiniLM-L6-v2;0,5876288659793815;0,598721265296257;0,5892276156436074;0,5931795949037328;399;3794;280;280;0,8340241796200345;0,8879046123944083;0,8563756894720614;0,954764502636843;0,8089637305699482;0,934156450876392;0,8821196827685653;C:/Users/samue/Downloads/NFT25/final_novo/only_emb/confusion_matrices/LogReg_oversampling_clean_lemmatization_all-MiniLM-L6-v2_confusion_matrix.png
LogReg;smote;clean_lemmatization_all-MiniLM-L6-v2;0,5905743740795287;0,601399767669112;0,5924876729983239;0,5961873168104896;401;3796;278;278;0,8340587219343696;0,8890072512521493;0,8568210627291103;0,9551100200036371;0,8088255613126081;0,9341037619867224;0,8819935111751983;C:/Users/samue/Downloads/NFT25/final_novo/only_emb/confusion_matrices/LogReg_smote_clean_lemmatization_all-MiniLM-L6-v2_confusion_matrix.png
kNN;unbalanced;clean_lemmatization_paraphrase-multilingual-MiniLM-L12-v2;0,524300441826215;0,5557004088900926;0,5285687893182501;0,5235455541401495;356;3751;323;323;0,7921502590673576;0,8514053973237646;0,8025883038130801;0,9053555191853064;0,7296718480138169;0,8740208648003092;0,8094899062725307;C:/Users/samue/Downloads/NFT25/final_novo/only_emb/confusion_matrices/kNN_unbalanced_clean_lemmatization_paraphrase-multilingual-MiniLM-L12-v2_confusion_matrix.png
kNN;undersampling;clean_lemmatization_paraphrase-multilingual-MiniLM-L12-v2;0,5139911634756995;0,5505871353570467;0,5185305461435946;0,5132126278510319;349;3744;330;330;0,7862348877374784;0,8462566345219406;0,8016547329473431;0,8953173304237134;0,7210708117443869;0,8767079981734518;0,8148612112472963;C:/Users/samue/Downloads/NFT25/final_novo/only_emb/confusion_matrices/kNN_undersampling_clean_lemmatization_paraphrase-multilingual-MiniLM-L12-v2_confusion_matrix.png
kNN;oversampling;clean_lemmatization_paraphrase-multilingual-MiniLM-L12-v2;0,5139911634756995;0,5420724899879552;0,5187775955132193;0,5117802393247849;349;3744;330;330;0,7797150259067358;0,8503027584660238;0,7893727088971872;0,9046553918894344;0,717348877374784;0,8691910499139415;0,8119142033165105;C:/Users/samue/Downloads/NFT25/final_novo/only_emb/confusion_matrices/kNN_oversampling_clean_lemmatization_paraphrase-multilingual-MiniLM-L12-v2_confusion_matrix.png
kNN;smote;clean_lemmatization_paraphrase-multilingual-MiniLM-L12-v2;0,4992636229749632;0,5243409144725746;0,5052427236803372;0,49013474774526716;339;3734;340;340;0,7670207253886009;0,8448175973686178;0,7796944054267019;0,905982905982906;0,7073143350604492;0,8678650461905933;0,784922494592646;C:/Users/samue/Downloads/NFT25/final_novo/only_emb/confusion_matrices/kNN_smote_clean_lemmatization_paraphrase-multilingual-MiniLM-L12-v2_confusion_matrix.png
SVM;unbalanced;clean_lemmatization_paraphrase-multilingual-MiniLM-L12-v2;0,6318114874815906;0,6618960286247075;0,6319677076235314;0,640811219446806;429;3824;250;250;0,8278238341968912;0,9209464005382373;0,8671331666038575;0,9543462447717768;0,8702936096718481;0,9468544732867329;0,8773612112472963;C:/Users/samue/Downloads/NFT25/final_novo/only_emb/confusion_matrices/SVM_unbalanced_clean_lemmatization_paraphrase-multilingual-MiniLM-L12-v2_confusion_matrix.png
SVM;undersampling;clean_lemmatization_paraphrase-multilingual-MiniLM-L12-v2;0,6332842415316642;0,6586547030131122;0,6340335349287988;0,6414567600076341;430;3825;249;249;0,825474956822107;0,9211893548628242;0,8648035218746788;0,9530369158028733;0,8694127806563039;0,9462573325371456;0,8768925739005047;C:/Users/samue/Downloads/NFT25/final_novo/only_emb/confusion_matrices/SVM_undersampling_clean_lemmatization_paraphrase-multilingual-MiniLM-L12-v2_confusion_matrix.png
